id,available_icu_beds_with_ventilator,total_beds_allocated_to_covid,pincode,total_beds_without_oxygen,occupied_beds_without_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,occupied_beds_with_oxygen,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,area,occupied_icu_beds_with_ventilator,available_beds_without_oxygen,total_icu_beds_without_ventilator,occupied_icu_beds_without_ventilator
99,0,21,382350,4,4,,Palm multi. Spe. Hospital,0,2,13,"3rd FLOOR, PALM ARCADE, SHUKAN CROSS ROAD, Nikol - Naroda Rd, New India Colony, Nikol, Ahmedabad, Gujarat 382350, India",Ahmedabad,13,0,NIKOL,2,0,2,2
100,0,19,382330,2,2,,Vedant Mult. Spe. Hospital,0,1,12,"3rd floor, Capital Corporates Commercial Complex, Vasant Vihar Road, Opp. Eknath Complex, Vasant Vihar 2, Naroda, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat 382330, India",Ahmedabad,12,0,NIKOL,1,0,4,4
101,0,13,,4,1,,Shree Khodiyar,0,1,6,,Ahmedabad,6,0,NIKOL,1,3,2,2
102,0,0,382210,0,0,,"Shiv hospital, bakrol",0,0,0,"Kujad, Suvarnabhumi Business Hub, Bakrol Cir, Ahmedabad, Gujarat 382210, India",Ahmedabad,0,0,Ahmedabad,0,0,0,0
103,0,47,382443,23,23,,RATAN Multi Speciality Hospital,0,4,12,"Surgeon Triangle, opposite Govindwadi, Vishalnagar, Isanpur, Ahmedabad, Gujarat 382443, India",Ahmedabad,12,0,Isanpur,4,0,8,8
104,0,40,380008,22,22,,Little Flower Super Spe.,0,3,2,"Narayana Banglows, Uttamnagar Garden Rd, nr. Jay hind char rasta, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008, India",Ahmedabad,2,0,MANINAGAR,3,0,13,13
105,0,23,380028,7,7,,URO CURE ASSO. AARNA HOSPI.,0,2,0,"60,, 43, Bhairavnath Rd, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380028, India",Ahmedabad,0,0,MANINAGAR,2,0,14,14
106,0,34,380008,8,8,,Laxmi hospital,0,1,20,"Shivani Complex, javahar chok, Balvatika, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008, India",Ahmedabad,20,0,MANINAGAR,1,0,5,5
107,0,17,380008,6,5,,PALLAV HOSPITAL,0,2,5,"Alankar Complex, Near, Pallav Railway Crossing, Maninagar East, Khokhra, Ahmedabad, Gujarat 380008, India",Ahmedabad,5,0,KHOKHARA,2,1,4,4
108,0,34,380050,10,10,,"SARTHAK HOSPITAL,GHODASAR",0,0,24,"15, 16, Swamibapa Smruti Mandir Rd, Ghodasar, Ahmedabad, Gujarat 380050, India",Ahmedabad,24,0,Ghodasar,0,0,0,0
109,0,16,382345,4,4,,AVISHKAR,0,2,4,"Ashok Mill Compound, Next to Arvind Megaestate Opposite Ashok Mills BRTS stand, D Colony, Ahmedabad, Gujarat 382345, India",Ahmedabad,4,0,KHOKHRA,2,0,6,6
110,0,25,380008,10,8,,Jankalyan hospital,0,4,9,"5, Swaminarayan College Rd, Shahalam, Pushpkunj, Maninagar, Ahmedabad, Gujarat 380008, India",Ahmedabad,9,0,MANINAGAR,4,2,2,2
111,0,34,382445,11,11,,Narol ICU,0,3,18,"Narol - Vatva Rd, Phase IV, Phase 4, GIDC Vatwa, Ahmedabad, Gujarat 382445, India",Ahmedabad,18,0,NAROL,3,0,2,2
112,0,20,382405,0,0,,Shakti hospital,0,1,7,"A-117, 1st Floor, Krishna Complex B/h.Shahwadi Bus Stand Nr.Krishna Petrol Pump, Narolgam, Ahmedabad, Gujarat 382405, India",Ahmedabad,7,0,NAROL,1,0,12,12
113,0,21,380043,12,9,,Shraddha medical nursing & heart hospital,0,0,9,"14, opp. Swaminarayan Vadi, Harihar Society, Daxini Society, Maninagar, Ahmedabad, Gujarat 380043, India",Ahmedabad,9,0,MANINAGAR,0,3,0,0
114,0,26,380022,5,4,,"Shifa hospitals, Jamalpur",0,3,10,"Bagmar Plaza, Opp APMC Market, Jamalpur Char Rasta, Jamalpur, Calico Mills, Behrampura, Ahmedabad, Gujarat 380022, India",Ahmedabad,10,0,Behrampura,3,1,8,8
115,0,15,382405,8,6,,"Jankalyan hospital, Narol",1,1,3,"5, Service Rd, Dharti Colony, Narolgam, Ahmedabad, Gujarat 382405, India",Ahmedabad,3,0,NAROL,1,2,3,2
116,0,15,382440,3,2,,Sparsh multi. Spe. Hospital,0,0,10,"Vatva Gopinath industrial hub ,ambica tube mill compound, bus stand, opp. durga nagar, Vatva, Ahmedabad, Gujarat 382440, India",Ahmedabad,10,0,VATVA,0,1,2,2
117,0,36,380008,6,6,,SHREE SARDAR PATEL,0,5,19,"Natvarlal Raval Marg, Near, Vasantnagar Twp, Basant Nagar, Maninagar, Ahmedabad, Gujarat 380008, India",Ahmedabad,19,0,MANINAGAR,5,0,6,6
118,0,24,380008,0,0,,Siddhi Vinayak Hospital,0,2,17,"Maninagar Rd, near Jaldhara Water World, Balvatika, Tulsibag, Kankaria, Maninagar, Ahmedabad, Gujarat 380008, India",Ahmedabad,17,0,MANINAGAR,2,0,5,5
119,0,19,382405,5,5,,Riyana Multi. Spe. Hospital,0,0,10,"10, 10, Lambha, Ahmedabad, Gujarat 382405, India",Ahmedabad,10,0,LAMBHA,0,0,4,4
120,0,127,,101,88,,Rajasthan Hospital-Shahibaug,0,15,0,,Ahmedabad,0,0,Shahibaug,15,13,11,11
121,0,27,380004,8,8,,Chandramani Hospital,0,2,11,"Sahibaug, Narmadashanker Rd, near Post Office, Gunvant Colony, Girdhar Nagar, Ahmedabad, Gujarat 380004, India",Ahmedabad,11,0,Shahibaug,2,0,6,6
122,0,30,380001,12,11,,"Life care hospital, Khanpur",0,1,10,"Borsali Apartment Road, near Shree Naminath Jain Derasar, Old City, Khanpur, Ahmedabad, Gujarat 380001, India",Ahmedabad,10,0,Shahpur,1,1,7,7
123,0,42,380004,36,30,,BAPS Yogiji Maharaj,0,3,0,"Shahibaug Road, Shahibaug, near BAPS Shri Swaminarayan Mandir, Dudheshwar, Ahmedabad, Gujarat 380004, India",Ahmedabad,0,0,Shahibaug,3,6,3,3
124,0,14,380016,10,8,,PRIME,0,0,4,"3rd Floor, Sparsh Complex, Near IOC petrol pump, Opp, no. 4, Civil Hospital Rd, Patel Society, Asarwa, Ahmedabad, Gujarat 380016, India",Ahmedabad,4,0,Asarwa,0,2,0,0
125,0,38,380004,18,17,,ANAND MULTI. HOSPITAL,0,2,10,"white house, opp. Rajasthan Hospital, Arihant Nagar, Shahibag, Ahmedabad, Gujarat 380004, India",Ahmedabad,10,0,Shahibaug,2,1,8,8
126,0,22,380001,12,1,,LOKHANDWALA HOSPITAL,0,0,10,"Jordan Road Limdi Chowk, Dariapur, Inside Prem Darwaja, Dariapur, Old City, Dariyapur, Ahmedabad, Gujarat 380001, India",Ahmedabad,10,0,DARIAPUR,0,11,0,0
127,0,28,380004,0,0,,Shree Bharati Vallabh,0,4,23,"Railway Crossing Rd, near Shahibag, Bhavna Society, Mahavir Kutir Society, Jain Colony, Shahibag, Ahmedabad, Gujarat 380004, India",Ahmedabad,23,0,Shahibaug,4,0,1,1
128,0,94,380060,65,65,,"CIMS Hospital, Sola,",0,9,17,"Science City Rd, Science City, Panchamrut Bunglows II, Sola, Ahmedabad, Gujarat 380060, India",Ahmedabad,17,0,Gota,9,0,3,3
129,0,43,380054,22,22,,"Sterling Cancer Hospital, Pakwan Char Rasta",0,4,13,"B/h, Sindhu Bhavan Marg, Off S G Highway, Bodakdev, Ahmedabad, Gujarat 380054, India",Ahmedabad,13,0,Bodekdev,4,0,4,4
130,0,66,382481,54,54,,"Sgvp hospital, SG road",0,2,8,"SGVP Campus, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382481, India",Ahmedabad,8,0,Gota,2,0,2,2
131,0,16,382481,4,4,,City Plus,0,2,5,"GF-18, B/H Vandematram Arcade, New SG Rd, nr. Shayona Tilak, Vandematram Arcade, Gota, Ahmedabad, Gujarat 382481, India",Ahmedabad,5,0,GOTA,2,0,5,5
132,0,27,380060,9,8,,Shaleen,0,3,12,"4th & 5th Floor, Shaleen Plaza, Science City Rd, nr. Mangaldeep Party Plot, Sola, Ahmedabad, Gujarat 380060, India",Ahmedabad,12,0,SOLA,3,1,3,3
133,0,27,382481,15,15,,V CARE,0,0,12,"Viswas city-5, Eulogia Hotel Rd, Gota, Ahmedabad, Gujarat 382481, India",Ahmedabad,12,0,GOTA,0,0,0,0
134,0,11,380058,11,9,,SHREE RAJ,0,0,0,"GF 8 gala Magnus, Safal Parisar Rd, South Bopal, Bopal, Ahmedabad, Gujarat 380058, India",Ahmedabad,0,0,BOPAL,0,2,0,0
135,0,21,380058,5,5,,ADITI,0,1,12,"1st floor Jaymaadi Shanti Smriti complex Besides little wing's BRT bus stop Near, Bopal - Ghuma Rd, Abhishek Society, India Colony, Bopal, Ahmedabad, Gujarat 380058, India",Ahmedabad,12,0,BOPAL,1,0,3,3
136,0,78,380054,30,30,,GLOBAL HOSPITAL,0,4,23,"Nr. Bodakdev Garden, Pakwan Cross Road, Off. S.G. Highway, Bodakdev, Ahmedabad, Gujarat 380054, India",Ahmedabad,23,0,Bodakdev,4,0,21,21
137,0,42,380059,12,12,,"DHS Multispecialty Hospital, Vastrapur",0,3,24,"Society, 18, Sunrise Park Road, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380059, India",Ahmedabad,24,0,Thalte],3,0,3,3
138,0,57,380052,34,34,,"Sanjivani hospital, Vastrapur",0,6,9,"15, Sunrise Park Road, Sunrise Park, Vastrapur, Ahmedabad, Gujarat 380052, India",Ahmedabad,9,0,Bodakdev,6,0,8,8
139,0,168,380054,0,0,,Sal Hospital,0,3,156,"SAL Hospital Cross roads Opposite, Doordarshan Tower, Drive In Rd, Nilmani Society, Thaltej, Ahmedabad, Gujarat 380054, India",Ahmedabad,156,0,Thaltej,3,0,9,9
140,0,12,380061,0,0,,PARAM,0,0,12,"5-6, Jayshakti Society,Janta Nagar Rd, Ghatlodiya, Ahmedabad, Gujarat 380061, India",Ahmedabad,12,0,Ghatlodia,0,0,0,0
141,0,63,382481,24,24,,LIFELINE,0,3,22,"Shayona Tilak, Near Vandematram Arcade Behind Vishwakarma Temple, New S G Road, Chandlodia Rd, Gota, Ahmedabad, Gujarat 382481, India",Ahmedabad,22,0,chandlodia,3,0,14,14
142,0,47,380058,35,27,,"Bopal Icu & Trauma Center, Ambli,",0,2,0,"17-26, 3rd floor, Amrapali Axiom, junction, Ambli - Bopal Rd, Ambli, Ahmedabad, Gujarat 380058, India",Ahmedabad,0,0,Bodakdev,2,8,10,10
143,0,17,380058,2,2,,ADWAIT,0,2,11,"DPS Bopal Rd, Bopal, Ahmedabad, Gujarat 380058, India",Ahmedabad,11,0,BOPAL,2,0,2,2
144,0,42,380015,16,15,,ICON,0,2,18,"Ground Floor 2, Sheel Apartment, Nehrupark, Vastrapur, Vastrapur, Mahavir Nagar society, Vastrapur, Ahmedabad, Gujarat 380015, India",Ahmedabad,18,0,Vastrapur,2,1,6,6
145,0,21,380081,7,7,,SILVERSTAR,0,2,5,"Silver Star Mall Rd, Gota, Ahmedabad, Gujarat 380081, India",Ahmedabad,5,0,GOTA,2,0,7,7
146,0,13,380052,0,0,,AASHWI,0,1,11,"Celler, Harvy Complex, Subhash Chowk, Near A-One School, Memnagar, Tarun Nagar Part 2, Memnagar, Ahmedabad, Gujarat 380052, India",Ahmedabad,11,0,THALTEJ,1,0,1,1
147,0,12,380061,11,3,,HETVI,0,0,1,"11, Varsha State Bank Staff Society, below Chanakyapuri, Overbridge, Ghatlodiya, Chanakyapuri, Ahmedabad, Gujarat 380061, India",Ahmedabad,1,0,Ghatlodia,0,8,0,0
148,0,15,380061,13,13,,MODI,0,0,1,"Janta Nagar Kakoldiya Rd, Laxmangadh Nagar, Umedpark Society, Ghatlodiya, Ahmedabad, Gujarat 380061, India",Ahmedabad,2,1,Ghatlodia,0,0,0,0
149,0,9,382470,4,4,,Aum sai hospital,0,0,5,"1,2 Samyak Galaxy Nr. Umabhavani Railway Crossing Jagatpur, Godrej Garden City Rd, Krishnadham Tenement, Chandkheda, Ahmedabad, Gujarat 382470, India",Ahmedabad,5,0,GOTA,0,0,0,0
150,0,11,380061,7,7,,Ohm Hospital,0,0,2,"18-19, Ghatlodia Rd, Karmachari Nagar Part-1, Ghatlodiya, Ahmedabad, Gujarat 380061, India",Ahmedabad,2,0,Ghatlodia,0,0,2,2
151,0,75,380058,51,48,,Zydus Hospital,0,6,12,"Zydus Hospital, Zydus Hospital Rd, Sola, Ahmedabad, Gujarat 380058, India",Ahmedabad,12,0,THALTEJ,6,3,6,6
152,0,48,380052,0,0,,Sterling Hospital Memnagar,0,4,40,"Sterling Hospital Road near Maharaja Agrasen Vidhyalaya, L.K Society, Nilmani Society, Memnagar, Ahmedabad, Gujarat 380052, India",Ahmedabad,40,0,THALTEJ,4,0,4,4
153,0,127,382421,101,101,,KD Hospital,0,8,0,"Sardar Patel Ring Rd, Ahmedabad, Gujarat 382421, India",Ahmedabad,0,0,GOTA,8,0,18,18
154,0,10,380054,0,0,,Asian Bariatrics,0,4,0,"Unnamed Road, Bodakdev, Ahmedabad, Gujarat 380054, India",Ahmedabad,0,0,Bodakdev,4,0,6,6
155,0,20,,0,0,,"Devasya Hospital, bopal",0,2,17,,Ahmedabad,17,0,BOPAL,2,0,1,1
156,0,18,382481,7,7,,Ananta multi. Spe. Hospi.,0,0,8,"Shayona Tilak, Near Vandematram Arcade Behind Vishwakarma Temple, New S G Road, Chandlodia Rd, Gota, Ahmedabad, Gujarat 382481, India",Ahmedabad,8,0,Gota,0,0,3,3
157,0,14,,8,8,,Guru krupa,0,1,2,,Ahmedabad,2,0,Ghatlodia,1,0,3,3
158,0,20,,0,0,,RICN Hospital,0,2,13,,Ahmedabad,13,0,THALTEJ,2,0,5,5
159,0,150,382421,150,35,,V CARE GYNEC SURENDRANAGAR PATIDAR COVID CARE CENTER,0,0,0,"SPCT Sankul, Opp. Balaji wind park, Nr. Vaishnodevi circle, Khoraj, Ahmedabad - 382421",Ahmedabad,0,0,Ahmedabad,0,115,0,0
160,0,44,,44,27,,LIFELINE(GINGER) Covid Care Centre,0,0,0,"Ahmedabad, Gujarat, India",Ahmedabad,0,0,Ahmedabad,0,17,0,0
161,0,50,380006,50,50,,CIMS SOLA TULIP INN HOTEL COVID CARE CENTER,0,0,0,"3rd Floor, Parimal Garden, Dev Complex, Vijay Cross Rd, Shanti Sadan Society, Ellisbridge, Ahmedabad, Gujarat 380006, India",Ahmedabad,0,0,Ahmedabad,0,0,0,0
162,0,40,380054,40,32,,DHS HOSPI. SUBA STAR HOTEL COVID CARE CENTER,0,0,0,"Judges Bungalow Rd, next to Aakash Tower, Bodakdev, Ahmedabad, Gujarat 380054, India",Ahmedabad,0,0,Ahmedabad,0,8,0,0
163,0,60,380058,60,16,,BOPAL ICU GRAND 07 HOTEL,0,0,0,"Near Bopal 444, Off S. P. Ring Road, Ahmedabad, Gujarat 380058, India",Ahmedabad,0,0,Ahmedabad,0,44,0,0
164,0,100,380015,100,63,,Asian Bariatrics HOTEL PRIDE PLAZA Covid care centre,0,0,0,"S/n. 235/2 Opp, Rajpath Club Road, Sarkhej - Gandhinagar Hwy, Bodakdev, Ahmedabad, Gujarat 380015, India",Ahmedabad,0,0,Ahmedabad,0,37,0,0
165,0,25,,25,0,,CONFEDERATION OF REAL ESTATE DEV. ASSO. OF INDIA(CREDAI),0,0,0,,Ahmedabad,0,0,Ahmedabad,0,25,0,0
166,0,80,,80,3,,"SRM HEALTH CARE, SG ROAD, THALTEJ",0,0,0,,Ahmedabad,0,0,Ahmedabad,0,77,0,0
167,0,63,,63,29,,"SANAND JANTA MULT.SPE.AVALON HOTEL, SG ROAD",0,0,0,,Ahmedabad,0,0,Ahmedabad,0,34,0,0
168,0,58,,58,0,,MEDILINK RAJPATH CLUB HOTEL,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,58,0,0
169,0,175,,175,0,,"ICON FAIRFIELD BY MARRIOTT, ASHRAM ROAD",0,0,0,,Ahmedabad,0,0,Ahmedabad,0,175,0,0
170,0,15,,15,15,,DR. POOJA PATEL & TEAM SANKALP CCC,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,0,0,0
171,0,30,,30,0,,"ARHAM YUVA SEVA GROUP, SATELLITE",0,0,0,,Ahmedabad,0,0,Ahmedabad,0,30,0,0
172,0,30,,30,0,,SHAKTI GENERAL SILVER LEAF HOTEL,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,30,0,0
173,0,31,,31,0,,JINCY ERRAZZO SUITES HOTEL,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,31,0,0
174,0,41,380015,6,4,,"Medilink hospital, Shyamal char rasta",0,3,24,"132 ft Ring Road, Opp. Someshwara Jain Temple, Satellite, Swinagar Society, Nehru Nagar, Ambawadi, Ahmedabad, Gujarat 380015, India",Ahmedabad,24,0,Jodhpur,3,2,8,8
175,0,24,380058,16,16,,"Shivam, Bopal",0,1,3,"Nandanpark Internal Road, Nandanpark Society, Bopal, Ahmedabad, Gujarat 380058, India",Ahmedabad,3,0,Bopal,1,0,4,4
176,0,137,380058,65,65,,krishna shalby,0,12,40,"319, Green City, Ghuma, Via, Bopal, Ahmedabad, Gujarat 380058, India",Ahmedabad,40,0,Sarkhej,12,0,20,20
177,0,22,380051,8,8,,Samkit hospital,0,1,8,"Bhagyoday Society, 2nd floor, Surganga Complex, Jivraj Park Vejalpur Rd, Bhagyoday Society, Vibhavari Society, Juhapura, Ahmedabad, Gujarat 380051, India",Ahmedabad,8,0,Vejalpur,1,0,5,5
178,0,65,,12,1,,lora Hospital (Amena Khatun Multi Speciality Hospital),0,7,41,,Ahmedabad,41,0,Sarkhej,7,11,5,5
179,0,48,380015,8,8,,"Tapan Hospital, Satellite",0,5,24,"Anandnagar Cross Road, Near Platinium Hall, opp. Shell Petrol Pump, Satellite, Ahmedabad, Gujarat 380015, India",Ahmedabad,24,0,Jodhpur,5,0,11,11
180,0,40,380058,13,13,,"Saraswati Hospital, Sp Ring Road",0,0,27,"Nr. Shivalik Satyamev, Vakil Saheb Bridge Ambli Bopal T Junction, Sardar Patel Ring Rd, South Bopal, Bopal, Ahmedabad, Gujarat 380058, India",Ahmedabad,27,0,Jodhpur,0,0,0,0
181,0,21,380051,2,2,,FAITH HOSPI. & ICU,0,2,10,"201 to 204, 301 to 304, SEVENTH HEAVEN, Sarkhej Makarba Rd, opp. Al Burooj, Quresh Nagar Society, Makarba, Ahmedabad, Gujarat 380051, India",Ahmedabad,10,0,MAKARBA,2,0,7,7
182,0,22,382210,12,12,,Sahyog hospital,0,0,10,"Sanand - Sarkhej Road, RING ROAD CIRCLE, Shantipura, Ahmedabad, Gujarat 382210, India",Ahmedabad,10,0,Sarkhej,0,0,0,0
183,0,16,380055,11,1,,Jeevandeep,0,0,5,"Sarkhej, Ahmedabad, Gujarat 380055, India",Ahmedabad,5,0,Sarkhej,0,10,0,0
184,0,32,380015,0,0,,"Parekh hospital, satellite",0,2,25,"Shyamal Cross Road, 132 Feet Ring Road Shyamal, Satellite, Ahmedabad, Gujarat 380015, India",Ahmedabad,25,0,Jodhpur,2,0,5,5
185,0,61,380015,0,0,,"Shalby Hospital, SG highway",0,9,47,"Sarkhej - Gandhinagar Hwy, opp. Karnavati Club, Gota, Ahmedabad, Gujarat 380015, India",Ahmedabad,47,0,Sarkhej,9,0,5,5
186,0,20,380015,4,4,079 2673 0253,"Concept neuro & spine care, Shivranjani",0,1,7,"402-404 , Shital Varsha mall, Satellite Rd, Suryapooja Block B, Satellite, Ahmedabad, Gujarat 380015, India",Ahmedabad,11,4,Jodhpur,1,0,4,4
187,0,12,,0,0,,"Orchids ICU & Hospi., satellite",0,2,4,,Ahmedabad,4,0,Jodhpur,2,0,6,6
188,0,57,380059,57,24,,TAPAN SATELLITE PRAGATI HOTEL COVID CARE CENTER,0,0,0,"Near Zydus Hospital, Hebatpur Road, Sarkhej - Gandhinagar Hwy, Thaltej, Ahmedabad, Gujarat 380059, India",Ahmedabad,0,0,Ahmedabad,0,33,0,0
189,0,75,380015,75,59,,TAPAN RAJDEEP HOTEL,0,0,0,"100 Feet Anand Nagar Rd, near Shell Petrol Pump, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",Ahmedabad,0,0,Ahmedabad,0,16,0,0
190,0,80,380015,80,16,,MEDILINK RAMADA HOTEL,0,0,0,"132 ft Ring Road, Opp. Someshwara Jain Temple, Satellite, Swinagar Society, Nehru Nagar, Ambawadi, Ahmedabad, Gujarat 380015, India",Ahmedabad,0,0,Ahmedabad,0,64,0,0
191,0,30,,30,9,,"SHALBY, SG HIGHWAY RAMADA HOTEL",0,0,0,,Ahmedabad,0,0,Ahmedabad,0,21,0,0
192,0,100,,100,0,,SNEH HOSPITAL MANTRA ONE,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,100,0,0
193,0,50,,50,0,,Tapan satellite Rezaa's Hotel,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,50,0,0
194,0,40,,40,0,,TAPAN SATELLITE GRAND ELEGANCE HOTEL,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,40,0,0
195,0,14,,14,3,,TAPAN KHOKHRA RAJ PALACE HOTEL COVID CARE CENTER,0,0,0,"Ahmedabad, Gujarat, India",Ahmedabad,0,0,Ahmedabad,0,11,0,0
196,0,30,,30,0,,"UTTAR BHARATIYA VIKAS PARISHAD KABIR ASHRAM CCC, SARASPUR",0,0,0,,Ahmedabad,0,0,Ahmedabad,0,30,0,0
197,0,40,,40,6,,JANKALYAN SHAHALAM PLEASANT LAKE HOTEL,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,34,0,0
198,0,20,,20,0,,RAJ HOSPI. ATITHI HOTEL COVID CARE CENTER,0,0,0,"Ahmedabad, Gujarat, India",Ahmedabad,0,0,Ahmedabad,0,20,0,0
199,0,50,380015,50,0,,GUJARAT CHAMBER FOUN. NAMI RESY. HOTEL,0,0,0,"S. G. Road Near Shapath - V, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",Ahmedabad,0,0,Ahmedabad,0,50,0,0
200,0,20,,20,8,,JAIN INTER.TRAD ORG. NAMI RESIDENCY COVID CARE CENTER,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,12,0,0
201,0,50,380006,50,38,,THAKERSHY CHARI. TRUST URBUN INN HOTEL COVID CARE CENTER,0,0,0,"3rd Floor, Parimal Garden, Dev Complex, Vijay Cross Rd, Shanti Sadan Society, Ellisbridge, Ahmedabad, Gujarat 380006, India",Ahmedabad,0,0,Ahmedabad,0,12,0,0
202,0,64,380006,64,0,,HRIDAY SE THE LOTUS HOTEL CCC,0,0,0,"Opp. Kothawala flat, Ellisbridge, Pritam Nagar, Paldi, Ahmedabad, Gujarat 380006, India",Ahmedabad,0,0,Ahmedabad,0,64,0,0
203,0,30,380015,30,16,,AARTHAM NAMI RESI.,0,0,0,"Opp. Government Polytechnic College, near Panjrapole Cross Road, L Colony, Ambawadi, Ahmedabad, Gujarat 380015, India",Ahmedabad,0,0,Ahmedabad,0,14,0,0
204,0,20,,20,0,,LEMON TREE(HCG) COVID CARE,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,20,0,0
205,0,35,,0,0,,"SUSHRUSHA THE ORIENT CLUB COVID CARE CENTER, ELLISBRIDGE",0,0,35,,Ahmedabad,35,0,Ahmedabad,0,0,0,0
206,0,30,380060,30,0,,"PHOENIX EME. PNNACLE GRAND HOTEL, SG HIGHWAY",0,0,0,"Opp. Kargil Petrol Pump Near Doctor House, Sarkhej - Gandhinagar Hwy, Sola, Ahmedabad, Gujarat 380060, India",Ahmedabad,0,0,Ahmedabad,0,30,0,0
207,0,58,,8,0,,"BODYLINE ACCOLADE HOTEL, ELLISBRIDGE",0,0,24,,Ahmedabad,50,26,Ahmedabad,0,8,0,0
208,0,100,,100,0,,TLGH TUNE HOTEL(APODIS HOTEL & RESORTS),0,0,0,,Ahmedabad,0,0,Ahmedabad,0,100,0,0
209,0,5,,5,0,,IOCL INHOUSE CCC FOR IOCL EMPLOYEES,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,5,0,0
210,0,25,,15,0,,HOTEL KOHINOOR PLAZA,0,0,0,,Ahmedabad,10,10,Ahmedabad,0,15,0,0
211,0,32,,32,0,,DR. KHYATI JANI & TEAM HOTEL MAHEK,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,32,0,0
212,0,10,,10,0,,IOCL INHOUSE CCC FOR IOCL EMPLOYEES(SABARMATI TERMINAL),0,0,0,,Ahmedabad,0,0,Ahmedabad,0,10,0,0
213,0,10,,10,0,,PAIN CARE CLINIC HOTEL SRTC,0,0,0,,Ahmedabad,0,0,Ahmedabad,0,10,0,0
214,0,25,,25,0,,HELPING HAND GROUP SHREE RUKSHMANIBEN BHAVSAR COMM. HALL (SANVEDNA CCC),0,0,0,,Ahmedabad,0,0,Ahmedabad,0,25,0,0
